time_s,charge_current_a,ann_unclipped_current_a,ann_requested_current_a,safety_filtered_current_a,safety_filter_intervened,safety_override,target_current_cap_active,ann_inference_time_s,soc,terminal_voltage_v,average_temperature_c,source,anchor_temperature_c
3175.0,2.4435793319725008,3.5687701172500956,3.5687701172500956,2.4435793319725008,True,False,False,8.850000000000001e-05,0.7761599337193329,4.158566496728094,22.80227470469191,chen2020_dfn,15.0
3180.0,2.430606645363731,3.5719096706661135,3.5719096706661135,2.430606645363731,True,False,False,8.92e-05,0.7768351022319339,4.158525678336337,22.780934009876773,chen2020_dfn,15.0
3185.0,2.4177423412990384,3.5748782552753937,3.5748782552753937,2.4177423412990384,True,False,False,9.130000000000001e-05,0.7775066973267392,4.158483468472743,22.759479195542326,chen2020_dfn,15.0
3190.0,2.404984096198189,3.5776787486861665,3.5776787486861665,2.404984096198189,True,False,False,8.66e-05,0.778174748464572,4.158439871876992,22.737914115009062,chen2020_dfn,15.0
3195.0,2.392329682782948,3.580314725757096,3.580314725757096,2.392329682782948,True,False,False,9.010000000000001e-05,0.7788392844875672,4.158394893572611,22.716242522415826,chen2020_dfn,15.0
3200.0,2.3797769645967453,3.5827904009491074,3.5827904009491074,2.3797769645967453,True,False,False,8.7e-05,0.7795003336443997,4.1583485390021515,22.6944680762885,chen2020_dfn,15.0
3205.0,2.367323892220522,3.585110568962352,3.585110568962352,2.367323892220522,True,False,False,9.340000000000001e-05,0.7801579236144609,4.158300814124436,22.672594342965795,chen2020_dfn,15.0
3210.0,2.3549684988253254,3.58728054454289,3.58728054454289,2.3549684988253254,True,False,False,8.32e-05,0.7808120815308014,4.158251725454475,22.650624799871878,chen2020_dfn,15.0
3215.0,2.3427088958766547,3.5893061018191403,3.5893061018191403,2.3427088958766547,True,False,False,9.11e-05,0.7814628340018782,4.158201280073398,22.628562838638345,chen2020_dfn,15.0
3220.0,2.3305432698886643,3.591193413812984,3.591193413812984,2.3305432698886643,True,False,False,9.6e-05,0.7821102071324029,4.158149485649483,22.606411768099974,chen2020_dfn,15.0
3225.0,2.3184698781534614,3.5929489927092493,3.5929489927092493,2.3184698781534614,True,False,False,9.120000000000001e-05,0.7827542265430011,4.1580963504105615,22.584174817144913,chen2020_dfn,15.0
3230.0,2.306487045918069,3.5945796312384255,3.5945796312384255,2.306487045918069,True,False,False,9.09e-05,0.7833949173890895,4.1580418831496475,22.56185513744947,chen2020_dfn,15.0
3235.0,2.2945931625237863,3.596092345774009,3.596092345774009,2.2945931625237863,True,False,False,0.000123,0.7840323043786794,4.157986093187137,22.53945580608149,chen2020_dfn,15.0
3240.0,2.2827866789255413,3.597494321406885,3.597494321406885,2.2827866789255413,True,False,False,0.00010740000000000001,0.7846664117894921,4.157928990367351,22.516979827998398,chen2020_dfn,15.0
3245.0,2.2710661041284004,3.5987928594672116,3.5987928594672116,2.2710661041284004,True,False,False,9.350000000000001e-05,0.7852972634850836,4.157870585016527,22.494430138424946,chen2020_dfn,15.0
